pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:stft,relation_pca_residual,Tx5,0.95,0.7754129958909272,0.48947,0.4477777777777778,0.5272727272727272,0.058,0.1045045045045045,29,374,26,471
iq:stft,relation_pca_residual,Tx6,0.95,0.7754129958909272,0.49474,0.44555555555555554,0.5094339622641509,0.054,0.09764918625678118,27,374,26,473
iq:stft,relation_pca_residual,Tx7,0.95,0.7754129958909272,0.47078,0.4488888888888889,0.5357142857142857,0.06,0.10791366906474821,30,374,26,470
iq:stft,relation_pca_residual,Tx8,0.95,0.7754129958909272,0.47484,0.43444444444444447,0.3953488372093023,0.034,0.06261510128913444,17,374,26,483
iq:stft,relation_pca_residual,Tx5,0.97,1.0119307173435763,0.48947,0.44222222222222224,0.4772727272727273,0.042,0.07720588235294118,21,377,23,479
iq:stft,relation_pca_residual,Tx6,0.97,1.0119307173435763,0.49474,0.4388888888888889,0.43902439024390244,0.036,0.06654343807763402,18,377,23,482
iq:stft,relation_pca_residual,Tx7,0.97,1.0119307173435763,0.47078,0.4388888888888889,0.43902439024390244,0.036,0.06654343807763402,18,377,23,482
iq:stft,relation_pca_residual,Tx8,0.97,1.0119307173435763,0.47484,0.4311111111111111,0.3235294117647059,0.022,0.04119850187265917,11,377,23,489
iq:stft,relation_shrinkage_mahalanobis,Tx5,0.9,61.99539276017225,0.48032,0.44333333333333336,0.4945054945054945,0.09,0.15228426395939088,45,354,46,455
iq:stft,relation_shrinkage_mahalanobis,Tx6,0.9,61.99539276017225,0.4954,0.45111111111111113,0.5306122448979592,0.104,0.17391304347826086,52,354,46,448
iq:stft,relation_shrinkage_mahalanobis,Tx7,0.9,61.99539276017225,0.47245,0.4411111111111111,0.48314606741573035,0.086,0.1460101867572156,43,354,46,457
iq:stft,relation_shrinkage_mahalanobis,Tx8,0.9,61.99539276017225,0.469275,0.4211111111111111,0.352112676056338,0.05,0.08756567425569178,25,354,46,475
iq:stft,relation_shrinkage_mahalanobis,Tx5,0.95,99.32259412144003,0.48032,0.4444444444444444,0.5,0.05,0.09090909090909091,25,375,25,475
iq:stft,relation_shrinkage_mahalanobis,Tx6,0.95,99.32259412144003,0.4954,0.4411111111111111,0.46808510638297873,0.044,0.08043875685557586,22,375,25,478
