pair,method,relation_dim,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:bispectrum,relation_zdist,33,0.95,3.1298265818270377,1.0,1.2279161401967886,1.2962246481069792,0.06830850791019061,3.5153817280436503,0.4601750128340426,0.4943575,0.20583333333333334,0.8455882352941176,0.0575,0.10767790262172285,115,379,21,1885
iq:bispectrum,relation_zdist,33,0.97,4.194992285257143,1.0,1.2279161401967886,1.2962246481069792,0.06830850791019061,3.5153817280436503,0.4601750128340426,0.4943575,0.19083333333333333,0.8295454545454546,0.0365,0.06992337164750959,73,385,15,1927
iq:bispectrum,relation_pca_residual,33,0.9,0.4434541972031054,0.25984281168438245,0.4473879798668502,0.4528673116420486,0.005479331775198382,0.9564105770072365,0.17693831358076606,0.5095025,0.25958333333333333,0.8430769230769231,0.137,0.23569892473118279,274,349,51,1726
iq:bispectrum,relation_pca_residual,33,0.95,0.7273210395888878,0.25984281168438245,0.4473879798668502,0.4528673116420486,0.005479331775198382,0.9564105770072365,0.17693831358076606,0.5095025,0.20666666666666667,0.8243243243243243,0.061,0.11359404096834265,122,374,26,1878
iq:bispectrum,relation_pca_residual,33,0.97,0.9065055520334837,0.25984281168438245,0.4473879798668502,0.4528673116420486,0.005479331775198382,0.9564105770072365,0.17693831358076606,0.5095025,0.19708333333333333,0.8173913043478261,0.047,0.08888888888888888,94,379,21,1906
iq:bispectrum,relation_shrinkage_mahalanobis,33,0.9,59.3922761624666,31.52250399008697,43.76451376941761,45.81100610235265,2.0464923329350384,114.8436898899762,17.40802724895139,0.4985425,0.24958333333333332,0.8372881355932204,0.1235,0.21525054466230936,247,352,48,1753
iq:bispectrum,relation_shrinkage_mahalanobis,33,0.95,92.81311423103851,31.52250399008697,43.76451376941761,45.81100610235265,2.0464923329350384,114.8436898899762,17.40802724895139,0.4985425,0.2075,0.8356164383561644,0.061,0.1136999068033551,122,376,24,1878
iq:bispectrum,relation_shrinkage_mahalanobis,33,0.97,124.94314469834953,31.52250399008697,43.76451376941761,45.81100610235265,2.0464923329350384,114.8436898899762,17.40802724895139,0.4985425,0.19291666666666665,0.8118811881188119,0.041,0.0780580675868634,82,381,19,1918
ap:fft,relation_zdist,33,0.9,2.114520031301913,1.0,1.0371255692317738,1.109375796690641,0.07225022745886722,4.15060888157921,0.48270606988912534,0.52199375,0.24541666666666667,0.8225255972696246,0.1205,0.2102049716528565,241,348,52,1759
ap:fft,relation_zdist,33,0.95,3.7898314459151266,1.0,1.0371255692317738,1.109375796690641,0.07225022745886722,4.15060888157921,0.48270606988912534,0.52199375,0.205,0.8382352941176471,0.057,0.10674157303370786,114,378,22,1886
ap:fft,relation_zdist,33,0.97,5.091400727676678,1.0,1.0371255692317738,1.109375796690641,0.07225022745886722,4.15060888157921,0.48270606988912534,0.52199375,0.19208333333333333,0.8426966292134831,0.0375,0.07180469123982766,75,386,14,1925
ap:fft,relation_pca_residual,33,0.9,0.37295354145209697,0.17525974537110123,0.20926107210297445,0.21937102436104067,0.010109952258066213,0.7047501437386224,0.10114288516970635,0.49510125,0.25333333333333335,0.8229813664596274,0.1325,0.22825150732127478,265,343,57,1735
ap:fft,relation_pca_residual,33,0.95,0.6032335519180534,0.17525974537110123,0.20926107210297445,0.21937102436104067,0.010109952258066213,0.7047501437386224,0.10114288516970635,0.49510125,0.22041666666666668,0.8449197860962567,0.079,0.1444901691815272,158,371,29,1842
ap:fft,relation_pca_residual,33,0.97,0.7976504473667376,0.17525974537110123,0.20926107210297445,0.21937102436104067,0.010109952258066213,0.7047501437386224,0.10114288516970635,0.49510125,0.20208333333333334,0.8571428571428571,0.051,0.09627182633317602,102,383,17,1898
ap:fft,relation_shrinkage_mahalanobis,33,0.9,64.88656589292235,29.762823338255494,32.68968878099183,34.964632601665826,2.2749438206739967,121.024633848775,16.612429457905726,0.51597,0.2475,0.819078947368421,0.1245,0.21614583333333331,249,345,55,1751
