representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap,zdist,Tx8,0.97,5.4922312857992015,0.51834,0.43222222222222223,0.2962962962962963,0.016,0.030360531309297913,8,381,19,492
ap,pca_residual,Tx5,0.9,0.03113001962609236,0.508925,0.4622222222222222,0.5816326530612245,0.114,0.19063545150501676,57,359,41,443
ap,pca_residual,Tx6,0.9,0.03113001962609236,0.55107,0.48333333333333334,0.6495726495726496,0.152,0.24635332252836303,76,359,41,424
ap,pca_residual,Tx7,0.9,0.03113001962609236,0.573665,0.4888888888888889,0.6639344262295082,0.162,0.2604501607717042,81,359,41,419
ap,pca_residual,Tx8,0.9,0.03113001962609236,0.588355,0.5166666666666667,0.7210884353741497,0.212,0.32766615146831535,106,359,41,394
ap,pca_residual,Tx5,0.95,0.04421463393260167,0.508925,0.44666666666666666,0.5227272727272727,0.046,0.08455882352941176,23,379,21,477
ap,pca_residual,Tx6,0.95,0.04421463393260167,0.55107,0.46555555555555556,0.6557377049180327,0.08,0.14260249554367202,40,379,21,460
ap,pca_residual,Tx7,0.95,0.04421463393260167,0.573665,0.4766666666666667,0.704225352112676,0.1,0.17513134851138357,50,379,21,450
ap,pca_residual,Tx8,0.95,0.04421463393260167,0.588355,0.4811111111111111,0.72,0.108,0.18782608695652173,54,379,21,446
ap,pca_residual,Tx5,0.97,0.05436550704080625,0.508925,0.4444444444444444,0.5,0.03,0.056603773584905655,15,385,15,485
ap,pca_residual,Tx6,0.97,0.05436550704080625,0.55107,0.4533333333333333,0.6052631578947368,0.046,0.08550185873605948,23,385,15,477
ap,pca_residual,Tx7,0.97,0.05436550704080625,0.573665,0.46444444444444444,0.6875,0.066,0.12043795620437955,33,385,15,467
ap,pca_residual,Tx8,0.97,0.05436550704080625,0.588355,0.46111111111111114,0.6666666666666666,0.06,0.11009174311926605,30,385,15,470
ap,shrinkage_mahalanobis,Tx5,0.9,43.59762764571232,0.491855,0.43666666666666665,0.4631578947368421,0.088,0.14789915966386555,44,349,51,456
ap,shrinkage_mahalanobis,Tx6,0.9,43.59762764571232,0.52085,0.4666666666666667,0.5819672131147541,0.142,0.2282958199356913,71,349,51,429
ap,shrinkage_mahalanobis,Tx7,0.9,43.59762764571232,0.54874,0.4588888888888889,0.5565217391304348,0.128,0.20813008130081304,64,349,51,436
ap,shrinkage_mahalanobis,Tx8,0.9,43.59762764571232,0.56697,0.4622222222222222,0.5677966101694916,0.134,0.2168284789644013,67,349,51,433
ap,shrinkage_mahalanobis,Tx5,0.95,62.64650939138125,0.491855,0.44,0.4583333333333333,0.044,0.08029197080291971,22,374,26,478
