representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
fft,shrinkage_mahalanobis,Tx1,0.9,53.289187382521774,100,14,86,0.14,29.609515457227715,68.57416925522374
fft,shrinkage_mahalanobis,Tx2,0.9,53.289187382521774,100,6,94,0.06,26.794432631817035,56.1743692319794
fft,shrinkage_mahalanobis,Tx3,0.9,53.289187382521774,100,17,83,0.17,31.6759420938222,79.32417454423849
fft,shrinkage_mahalanobis,Tx4,0.9,53.289187382521774,100,10,90,0.1,30.06539884109111,73.95128150806443
fft,shrinkage_mahalanobis,Tx1,0.95,67.36951890834402,100,8,92,0.08,29.609515457227715,68.57416925522374
fft,shrinkage_mahalanobis,Tx2,0.95,67.36951890834402,100,5,95,0.05,26.794432631817035,56.1743692319794
fft,shrinkage_mahalanobis,Tx3,0.95,67.36951890834402,100,9,91,0.09,31.6759420938222,79.32417454423849
fft,shrinkage_mahalanobis,Tx4,0.95,67.36951890834402,100,8,92,0.08,30.06539884109111,73.95128150806443
fft,shrinkage_mahalanobis,Tx1,0.97,82.08790720589877,100,0,100,0.0,29.609515457227715,68.57416925522374
fft,shrinkage_mahalanobis,Tx2,0.97,82.08790720589877,100,4,96,0.04,26.794432631817035,56.1743692319794
fft,shrinkage_mahalanobis,Tx3,0.97,82.08790720589877,100,5,95,0.05,31.6759420938222,79.32417454423849
fft,shrinkage_mahalanobis,Tx4,0.97,82.08790720589877,100,3,97,0.03,30.06539884109111,73.95128150806443
stft,zdist,Tx1,0.9,1.7600977619229228,100,11,89,0.11,1.074571733507549,2.2695059858692277
stft,zdist,Tx2,0.9,1.7600977619229228,100,9,91,0.09,0.8836445023506896,2.1127912850128236
stft,zdist,Tx3,0.9,1.7600977619229228,100,18,82,0.18,1.0958719908045396,2.960660299582941
stft,zdist,Tx4,0.9,1.7600977619229228,100,12,88,0.12,1.0441108936624175,2.5362662835114014
stft,zdist,Tx1,0.95,2.255757340590132,100,6,94,0.06,1.074571733507549,2.2695059858692277
stft,zdist,Tx2,0.95,2.255757340590132,100,4,96,0.04,0.8836445023506896,2.1127912850128236
stft,zdist,Tx3,0.95,2.255757340590132,100,11,89,0.11,1.0958719908045396,2.960660299582941
stft,zdist,Tx4,0.95,2.255757340590132,100,8,92,0.08,1.0441108936624175,2.5362662835114014
stft,zdist,Tx1,0.97,2.7022992070449217,100,3,97,0.03,1.074571733507549,2.2695059858692277
stft,zdist,Tx2,0.97,2.7022992070449217,100,1,99,0.01,0.8836445023506896,2.1127912850128236
stft,zdist,Tx3,0.97,2.7022992070449217,100,9,91,0.09,1.0958719908045396,2.960660299582941
stft,zdist,Tx4,0.97,2.7022992070449217,100,5,95,0.05,1.0441108936624175,2.5362662835114014
stft,pca_residual,Tx1,0.9,0.23828659563414584,100,7,93,0.07,0.12802143212036465,0.2675939190129259
stft,pca_residual,Tx2,0.9,0.23828659563414584,100,6,94,0.06,0.11298532825613415,0.23851260193200788
stft,pca_residual,Tx3,0.9,0.23828659563414584,100,3,97,0.03,0.11153192094432297,0.22872723409010648
stft,pca_residual,Tx4,0.9,0.23828659563414584,100,16,84,0.16,0.1445329801031024,0.34193970445209837
stft,pca_residual,Tx1,0.95,0.3115568331770439,100,4,96,0.04,0.12802143212036465,0.2675939190129259
stft,pca_residual,Tx2,0.95,0.3115568331770439,100,3,97,0.03,0.11298532825613415,0.23851260193200788
stft,pca_residual,Tx3,0.95,0.3115568331770439,100,0,100,0.0,0.11153192094432297,0.22872723409010648
stft,pca_residual,Tx4,0.95,0.3115568331770439,100,8,92,0.08,0.1445329801031024,0.34193970445209837
stft,pca_residual,Tx1,0.97,0.3620357113382813,100,2,98,0.02,0.12802143212036465,0.2675939190129259
stft,pca_residual,Tx2,0.97,0.3620357113382813,100,0,100,0.0,0.11298532825613415,0.23851260193200788
stft,pca_residual,Tx3,0.97,0.3620357113382813,100,0,100,0.0,0.11153192094432297,0.22872723409010648
stft,pca_residual,Tx4,0.97,0.3620357113382813,100,5,95,0.05,0.1445329801031024,0.34193970445209837
stft,shrinkage_mahalanobis,Tx1,0.9,206.19293526384996,100,11,89,0.11,134.44756725154946,250.23936713583345
stft,shrinkage_mahalanobis,Tx2,0.9,206.19293526384996,100,7,93,0.07,118.35730729527891,226.53675859056244
stft,shrinkage_mahalanobis,Tx3,0.9,206.19293526384996,100,5,95,0.05,119.43239294046856,205.60943682348304
stft,shrinkage_mahalanobis,Tx4,0.9,206.19293526384996,100,19,81,0.19,144.46673114915296,274.31758796563037
stft,shrinkage_mahalanobis,Tx1,0.95,249.20659232688703,100,5,95,0.05,134.44756725154946,250.23936713583345
stft,shrinkage_mahalanobis,Tx2,0.95,249.20659232688703,100,3,97,0.03,118.35730729527891,226.53675859056244
stft,shrinkage_mahalanobis,Tx3,0.95,249.20659232688703,100,3,97,0.03,119.43239294046856,205.60943682348304
stft,shrinkage_mahalanobis,Tx4,0.95,249.20659232688703,100,12,88,0.12,144.46673114915296,274.31758796563037
stft,shrinkage_mahalanobis,Tx1,0.97,275.08538075105446,100,5,95,0.05,134.44756725154946,250.23936713583345
stft,shrinkage_mahalanobis,Tx2,0.97,275.08538075105446,100,1,99,0.01,118.35730729527891,226.53675859056244
stft,shrinkage_mahalanobis,Tx3,0.97,275.08538075105446,100,0,100,0.0,119.43239294046856,205.60943682348304
stft,shrinkage_mahalanobis,Tx4,0.97,275.08538075105446,100,5,95,0.05,144.46673114915296,274.31758796563037
cepstral,zdist,Tx1,0.9,1.932905529292956,100,11,89,0.11,0.9478864418606495,2.750694454197975
cepstral,zdist,Tx2,0.9,1.932905529292956,100,8,92,0.08,0.9378345294570616,3.4931954668287593
cepstral,zdist,Tx3,0.9,1.932905529292956,100,20,80,0.2,1.3928553271498834,5.910756354878101
cepstral,zdist,Tx4,0.9,1.932905529292956,100,8,92,0.08,0.9256078526144692,2.443094099380276
cepstral,zdist,Tx1,0.95,3.082517390511777,100,3,97,0.03,0.9478864418606495,2.750694454197975
cepstral,zdist,Tx2,0.95,3.082517390511777,100,7,93,0.07,0.9378345294570616,3.4931954668287593
cepstral,zdist,Tx3,0.95,3.082517390511777,100,14,86,0.14,1.3928553271498834,5.910756354878101
cepstral,zdist,Tx4,0.95,3.082517390511777,100,4,96,0.04,0.9256078526144692,2.443094099380276
cepstral,zdist,Tx1,0.97,3.763604607025838,100,1,99,0.01,0.9478864418606495,2.750694454197975
cepstral,zdist,Tx2,0.97,3.763604607025838,100,3,97,0.03,0.9378345294570616,3.4931954668287593
cepstral,zdist,Tx3,0.97,3.763604607025838,100,13,87,0.13,1.3928553271498834,5.910756354878101
cepstral,zdist,Tx4,0.97,3.763604607025838,100,2,98,0.02,0.9256078526144692,2.443094099380276
cepstral,pca_residual,Tx1,0.9,0.1910890010842814,100,14,86,0.14,0.120934120324671,0.25293160008506615
cepstral,pca_residual,Tx2,0.9,0.1910890010842814,100,15,85,0.15,0.13065976178383049,0.34464877412000444
