pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:hos,relation_zdist,Tx3,0.97,3.8858216027017867,100,2,98,0.02,0.8746512178496598,2.8303792879748544
iq:hos,relation_zdist,Tx4,0.97,3.8858216027017867,100,1,99,0.01,0.515654677944131,1.9731550261548092
iq:hos,relation_pca_residual,Tx1,0.9,0.27122230606755776,100,13,87,0.13,0.215534476815729,0.5017962902627774
iq:hos,relation_pca_residual,Tx2,0.9,0.27122230606755776,100,13,87,0.13,7.2728962552117915,1.1119970024181154
iq:hos,relation_pca_residual,Tx3,0.9,0.27122230606755776,100,17,83,0.17,0.1623904372458814,0.6880722922949943
iq:hos,relation_pca_residual,Tx4,0.9,0.27122230606755776,100,14,86,0.14,0.12029297989707322,0.4011217676453177
iq:hos,relation_pca_residual,Tx1,0.95,0.5235201350132112,100,5,95,0.05,0.215534476815729,0.5017962902627774
iq:hos,relation_pca_residual,Tx2,0.95,0.5235201350132112,100,9,91,0.09,7.2728962552117915,1.1119970024181154
iq:hos,relation_pca_residual,Tx3,0.95,0.5235201350132112,100,7,93,0.07,0.1623904372458814,0.6880722922949943
iq:hos,relation_pca_residual,Tx4,0.95,0.5235201350132112,100,4,96,0.04,0.12029297989707322,0.4011217676453177
iq:hos,relation_pca_residual,Tx1,0.97,0.7319963229629536,100,3,97,0.03,0.215534476815729,0.5017962902627774
iq:hos,relation_pca_residual,Tx2,0.97,0.7319963229629536,100,7,93,0.07,7.2728962552117915,1.1119970024181154
iq:hos,relation_pca_residual,Tx3,0.97,0.7319963229629536,100,3,97,0.03,0.1623904372458814,0.6880722922949943
iq:hos,relation_pca_residual,Tx4,0.97,0.7319963229629536,100,3,97,0.03,0.12029297989707322,0.4011217676453177
iq:hos,relation_shrinkage_mahalanobis,Tx1,0.9,55.77369906562888,100,10,90,0.1,42.27112280862394,95.12386431246215
iq:hos,relation_shrinkage_mahalanobis,Tx2,0.9,55.77369906562888,100,15,85,0.15,810.5780163343329,161.42850886265649
iq:hos,relation_shrinkage_mahalanobis,Tx3,0.9,55.77369906562888,100,15,85,0.15,32.86857997210577,100.02332334679699
iq:hos,relation_shrinkage_mahalanobis,Tx4,0.9,55.77369906562888,100,9,91,0.09,21.45113199928073,78.98441059492183
iq:hos,relation_shrinkage_mahalanobis,Tx1,0.95,98.57860719947003,100,4,96,0.04,42.27112280862394,95.12386431246215
iq:hos,relation_shrinkage_mahalanobis,Tx2,0.95,98.57860719947003,100,8,92,0.08,810.5780163343329,161.42850886265649
iq:hos,relation_shrinkage_mahalanobis,Tx3,0.95,98.57860719947003,100,6,94,0.06,32.86857997210577,100.02332334679699
iq:hos,relation_shrinkage_mahalanobis,Tx4,0.95,98.57860719947003,100,3,97,0.03,21.45113199928073,78.98441059492183
iq:hos,relation_shrinkage_mahalanobis,Tx1,0.97,140.49170224877838,100,3,97,0.03,42.27112280862394,95.12386431246215
iq:hos,relation_shrinkage_mahalanobis,Tx2,0.97,140.49170224877838,100,6,94,0.06,810.5780163343329,161.42850886265649
iq:hos,relation_shrinkage_mahalanobis,Tx3,0.97,140.49170224877838,100,3,97,0.03,32.86857997210577,100.02332334679699
iq:hos,relation_shrinkage_mahalanobis,Tx4,0.97,140.49170224877838,100,3,97,0.03,21.45113199928073,78.98441059492183
iq:bispectrum,relation_zdist,Tx1,0.9,1.9891274784653472,100,11,89,0.11,1.5554344161035,3.04880048462552
