pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:stft,relation_pca_residual,Tx4,0.9,0.4263801154015615,0.48322,0.31166666666666665,0.848,0.212,0.33919999999999995,106,81,19,394
iq:stft,relation_pca_residual,Tx5,0.9,0.4263801154015615,0.44722,0.2833333333333333,0.8240740740740741,0.178,0.2927631578947368,89,81,19,411
iq:stft,relation_pca_residual,Tx6,0.9,0.4263801154015615,0.44666,0.2866666666666667,0.8272727272727273,0.182,0.2983606557377049,91,81,19,409
iq:stft,relation_pca_residual,Tx7,0.9,0.4263801154015615,0.44058,0.285,0.8256880733944955,0.18,0.29556650246305416,90,81,19,410
iq:stft,relation_pca_residual,Tx8,0.9,0.4263801154015615,0.42174,0.24,0.7682926829268293,0.126,0.21649484536082475,63,81,19,437
iq:stft,relation_pca_residual,Tx2,0.95,0.6198071190437213,0.40598,0.24333333333333335,0.8194444444444444,0.118,0.20629370629370627,59,87,13,441
iq:stft,relation_pca_residual,Tx3,0.95,0.6198071190437213,0.44092,0.24,0.8142857142857143,0.114,0.2,57,87,13,443
iq:stft,relation_pca_residual,Tx4,0.95,0.6198071190437213,0.48322,0.25833333333333336,0.8395061728395061,0.136,0.23407917383820998,68,87,13,432
iq:stft,relation_pca_residual,Tx5,0.95,0.6198071190437213,0.44722,0.23833333333333334,0.8115942028985508,0.112,0.19683655536028122,56,87,13,444
iq:stft,relation_pca_residual,Tx6,0.95,0.6198071190437213,0.44666,0.24666666666666667,0.8243243243243243,0.122,0.21254355400696864,61,87,13,439
iq:stft,relation_pca_residual,Tx7,0.95,0.6198071190437213,0.44058,0.235,0.8059701492537313,0.108,0.19047619047619047,54,87,13,446
iq:stft,relation_pca_residual,Tx8,0.95,0.6198071190437213,0.42174,0.20833333333333334,0.7450980392156863,0.076,0.13793103448275862,38,87,13,462
iq:stft,relation_pca_residual,Tx2,0.97,0.8587868667117514,0.40598,0.225,0.8181818181818182,0.09,0.16216216216216217,45,90,10,455
