pair,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
fft:stft,relation_zdist,0.97,3.442977987126536,0.5321685714285714,0.07388888888888889,0.9560439560439561,0.04971428571428571,0.09451385116784355,174,92,8,3326
fft:stft,relation_pca_residual,0.9,0.4530309461659335,0.52712,0.2286111111111111,0.9775429326287979,0.21142857142857144,0.3476626732440686,740,83,17,2760
fft:stft,relation_pca_residual,0.95,0.5702334633432907,0.52712,0.16277777777777777,0.9783464566929134,0.142,0.24800399201596807,497,89,11,3003
fft:stft,relation_pca_residual,0.97,0.6715901485438088,0.52712,0.1225,0.9749303621169917,0.1,0.18139414356050793,350,91,9,3150
fft:stft,relation_shrinkage_mahalanobis,0.9,64.88128580741072,0.5357857142857143,0.17194444444444446,0.9761467889908257,0.152,0.2630407911001236,532,87,13,2968
fft:stft,relation_shrinkage_mahalanobis,0.95,77.826139710708,0.5357857142857143,0.13194444444444445,0.9770992366412213,0.10971428571428571,0.19727716414076546,384,91,9,3116
fft:stft,relation_shrinkage_mahalanobis,0.97,93.82078937685264,0.5357857142857143,0.0975,0.966542750929368,0.07428571428571429,0.1379676306712656,260,91,9,3240
fft:cepstral,relation_zdist,0.9,2.042993885948509,0.5369142857142857,0.1802777777777778,0.9893048128342246,0.15857142857142856,0.2733316917015513,555,94,6,2945
fft:cepstral,relation_zdist,0.95,3.0699247832281187,0.5369142857142857,0.11583333333333333,0.9847094801223242,0.092,0.16827802456232033,322,95,5,3178
fft:cepstral,relation_zdist,0.97,3.374519440071989,0.5369142857142857,0.10555555555555556,0.9827586206896551,0.08142857142857143,0.15039577836411608,285,95,5,3215
fft:cepstral,relation_pca_residual,0.9,0.28198462653204,0.5414114285714285,0.24305555555555555,0.9825653798256538,0.22542857142857142,0.3667208924006507,789,86,14,2711
fft:cepstral,relation_pca_residual,0.95,0.4112141404548576,0.5414114285714285,0.16472222222222221,0.9805068226120858,0.1437142857142857,0.2506852728631946,503,90,10,2997
