representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap,shrinkage_mahalanobis,Tx8,0.95,61.330845681684536,0.58038,0.24166666666666667,0.835820895522388,0.112,0.19753086419753085,56,89,11,444
ap,shrinkage_mahalanobis,Tx2,0.97,74.59569967689372,0.50154,0.21333333333333335,0.8043478260869565,0.074,0.13553113553113552,37,91,9,463
ap,shrinkage_mahalanobis,Tx3,0.97,74.59569967689372,0.54968,0.22666666666666666,0.8333333333333334,0.09,0.1624548736462094,45,91,9,455
ap,shrinkage_mahalanobis,Tx4,0.97,74.59569967689372,0.54104,0.215,0.8085106382978723,0.076,0.13893967093235832,38,91,9,462
ap,shrinkage_mahalanobis,Tx5,0.97,74.59569967689372,0.5291,0.20666666666666667,0.7857142857142857,0.066,0.12177121771217714,33,91,9,467
ap,shrinkage_mahalanobis,Tx6,0.97,74.59569967689372,0.55004,0.225,0.8301886792452831,0.088,0.15913200723327306,44,91,9,456
ap,shrinkage_mahalanobis,Tx7,0.97,74.59569967689372,0.59182,0.22666666666666666,0.8333333333333334,0.09,0.1624548736462094,45,91,9,455
ap,shrinkage_mahalanobis,Tx8,0.97,74.59569967689372,0.58038,0.21666666666666667,0.8125,0.078,0.14233576642335768,39,91,9,461
fft,zdist,Tx2,0.9,2.443017911131731,0.44786,0.23166666666666666,0.7746478873239436,0.11,0.1926444833625219,55,84,16,445
fft,zdist,Tx3,0.9,2.443017911131731,0.52254,0.23,0.7714285714285715,0.108,0.18947368421052632,54,84,16,446
fft,zdist,Tx4,0.9,2.443017911131731,0.53402,0.24666666666666667,0.8,0.128,0.2206896551724138,64,84,16,436
fft,zdist,Tx5,0.9,2.443017911131731,0.53068,0.24,0.7894736842105263,0.12,0.20833333333333334,60,84,16,440
fft,zdist,Tx6,0.9,2.443017911131731,0.55952,0.24,0.7894736842105263,0.12,0.20833333333333334,60,84,16,440
fft,zdist,Tx7,0.9,2.443017911131731,0.54798,0.245,0.7974683544303798,0.126,0.21761658031088082,63,84,16,437
fft,zdist,Tx8,0.9,2.443017911131731,0.5735,0.25833333333333336,0.8160919540229885,0.142,0.24190800681431004,71,84,16,429
fft,zdist,Tx2,0.95,2.820865411824624,0.44786,0.20166666666666666,0.8181818181818182,0.054,0.10131332082551595,27,94,6,473
